sample_id,raw_index,true_cte_idx,true_he_idx,true_cte,true_he,cte0,cte1,cte2,cte3,cte4,he0,he1,he2
93,5322,2,2,0,1,0,0,1,1,0,0,0,1
94,1891,3,0,1,-1,0,0,1,1,0,1,0,0
95,4595,2,1,0,0,0,0,1,1,0,1,1,1
96,5486,1,0,-1,-1,1,1,1,0,1,1,0,0
97,5053,1,2,-1,1,1,1,0,0,0,0,1,1
98,579,1,0,-1,-1,0,1,1,0,0,1,0,0
99,3642,3,0,1,-1,0,0,0,1,0,1,0,0
100,759,0,0,-2,-1,1,1,0,1,1,1,1,0
101,368,3,2,1,1,0,0,0,1,0,1,1,1
102,1658,4,2,2,1,0,0,0,1,1,0,0,1
103,1888,0,0,-2,-1,1,1,0,1,1,1,1,0
104,1197,2,2,0,1,0,0,1,1,0,1,1,1
105,1958,3,2,1,1,0,0,1,1,0,1,1,1
106,2871,4,2,2,1,0,0,0,0,1,0,0,1
107,5235,2,0,0,-1,0,1,1,1,0,1,0,0
108,4117,0,0,-2,-1,1,1,0,1,1,1,1,0
109,4837,3,2,1,1,0,0,1,1,0,0,0,1
110,2181,1,1,-1,0,1,1,0,0,0,0,1,1
111,4191,0,2,-2,1,1,0,0,0,0,0,1,1
112,3039,4,2,2,1,0,0,0,0,1,0,0,1
113,3491,4,2,2,1,0,0,0,0,1,0,0,1
114,345,2,0,0,-1,0,0,1,1,0,1,0,0
115,1984,3,2,1,1,0,0,1,1,1,0,0,1
116,4408,1,0,-1,-1,0,1,1,0,1,1,0,0
117,3753,3,2,1,1,0,0,0,1,1,0,0,1
118,3454,0,0,-2,-1,1,1,0,1,1,1,1,0
119,2454,3,0,1,-1,0,0,0,1,0,1,0,0
120,1229,2,0,0,-1,0,0,1,1,0,1,0,0
121,4287,2,0,0,-1,0,0,1,1,0,1,0,0
122,1913,0,2,-2,1,1,1,0,0,0,0,0,1
123,342,4,0,2,-1,0,0,0,1,1,1,0,0
124,977,0,0,-2,-1,1,1,0,1,1,1,1,0
125,1238,0,2,-2,1,1,0,0,0,0,0,1,1
126,3740,4,2,2,1,0,0,0,0,1,0,1,1
127,1248,2,1,0,0,0,0,1,1,0,1,1,1
128,475,2,1,0,0,1,1,1,0,0,1,1,1
129,1520,4,0,2,-1,0,0,0,0,1,1,0,0
130,1434,1,0,-1,-1,1,1,1,0,1,1,0,0
131,333,4,0,2,-1,0,0,0,0,1,1,0,0
132,5277,0,0,-2,-1,1,1,0,1,1,1,1,0
133,5499,3,0,1,-1,0,0,0,1,0,1,0,0
134,4870,1,0,-1,-1,0,1,1,0,1,1,0,0
135,4035,1,1,-1,0,1,1,0,0,0,0,1,1
136,2103,4,0,2,-1,0,0,0,1,1,1,0,0
137,272,2,1,0,0,1,1,1,0,0,0,1,1
138,4189,4,2,2,1,0,0,0,0,1,0,1,1
139,5331,4,0,2,-1,0,0,0,1,1,1,1,0
140,3388,0,0,-2,-1,1,1,0,1,1,1,1,0
141,4374,3,1,1,0,0,0,1,1,0,1,1,1
142,1768,2,2,0,1,0,1,1,1,0,1,1,1
143,2403,2,0,0,-1,0,1,1,1,0,1,0,0
144,3462,3,2,1,1,0,0,0,1,1,0,0,1
145,4732,0,2,-2,1,1,0,0,0,0,0,1,1
146,4788,4,2,2,1,0,0,0,0,1,1,1,1
147,4448,3,1,1,0,0,0,0,1,0,1,1,1
148,3915,1,0,-1,-1,1,1,0,1,1,1,0,0
149,4260,2,1,0,0,1,1,1,0,0,0,1,1
150,190,4,2,2,1,0,0,0,0,1,0,0,1
151,544,1,1,-1,0,1,1,0,0,0,1,1,1
152,4303,0,2,-2,1,1,0,0,0,0,0,1,1
153,1440,4,0,2,-1,0,0,0,1,1,1,0,0
154,3736,0,1,-2,0,1,0,0,0,0,0,1,1
155,4895,4,0,2,-1,0,0,0,1,1,1,0,0
156,4941,3,2,1,1,0,0,0,1,1,0,0,1
157,500,0,1,-2,0,1,0,0,0,0,0,1,1
158,1069,4,2,2,1,0,0,0,0,1,1,1,1
159,5088,4,2,2,1,0,0,0,0,1,0,1,1
160,1484,3,1,1,0,0,0,0,1,0,1,1,1
161,40,4,0,2,-1,0,0,0,1,1,1,0,0
162,3290,4,0,2,-1,0,0,0,1,1,1,0,0
163,5058,1,1,-1,0,1,1,0,0,0,0,1,1
164,3206,1,0,-1,-1,1,1,1,0,1,1,0,0
165,43,4,2,2,1,0,0,0,0,1,0,0,1
166,995,2,2,0,1,1,1,1,1,0,0,1,1
167,4532,1,2,-1,1,1,1,1,0,0,0,1,1
168,4140,0,2,-2,1,1,1,0,0,0,0,0,1
169,1556,4,1,2,0,0,0,0,1,1,1,1,1
170,5121,3,0,1,-1,0,0,0,1,0,1,0,0
171,4273,0,2,-2,1,1,0,0,0,0,0,0,1
172,2799,1,2,-1,1,1,1,0,0,0,0,1,1
173,2951,1,0,-1,-1,1,1,1,0,1,1,0,0
174,737,0,1,-2,0,1,0,0,0,0,0,1,1
175,1499,0,0,-2,-1,1,1,0,1,1,1,1,0
176,4720,4,2,2,1,0,0,0,1,1,0,1,1
177,4337,1,2,-1,1,1,1,0,0,0,0,1,1
178,3050,1,2,-1,1,1,1,1,0,0,0,0,1
179,313,2,0,0,-1,0,0,1,1,0,1,0,0
180,4631,1,2,-1,1,1,1,1,0,0,1,1,1
181,1282,0,1,-2,0,1,0,0,0,0,0,1,0
182,514,1,0,-1,-1,0,1,1,0,1,1,0,0
183,137,1,0,-1,-1,1,1,1,0,1,1,0,0
184,3391,0,0,-2,-1,1,1,0,1,1,1,1,0
185,2433,1,2,-1,1,1,1,0,0,0,0,1,1
186,4778,0,0,-2,-1,1,1,0,1,1,1,1,0
187,948,4,2,2,1,0,0,0,0,1,0,0,1
188,3834,0,0,-2,-1,1,1,0,1,1,1,1,0
189,3215,4,2,2,1,0,0,0,0,1,0,1,1
190,1283,4,2,2,1,0,0,0,0,1,0,1,1
191,4282,3,0,1,-1,0,0,0,1,0,1,0,0
192,223,0,2,-2,1,1,0,0,0,0,0,0,1
193,1291,3,1,1,0,0,0,0,1,0,1,1,1
194,4762,4,2,2,1,0,0,0,1,1,0,0,1
195,2008,1,2,-1,1,1,1,1,0,0,0,1,1
196,1186,4,0,2,-1,0,0,0,1,1,1,0,0
197,3380,2,2,0,1,1,1,1,0,0,1,1,1
198,3504,0,1,-2,0,1,1,0,0,0,1,1,0
199,2775,2,2,0,1,0,0,1,1,0,0,1,1
200,3124,1,1,-1,0,1,1,0,0,0,0,1,1
201,2321,4,0,2,-1,0,0,0,0,1,1,0,0
202,483,0,2,-2,1,1,1,0,0,0,0,0,1
203,292,0,1,-2,0,1,0,0,0,0,0,1,1
204,3209,3,1,1,0,0,0,0,1,0,1,1,1
205,4561,3,2,1,1,0,0,1,1,1,0,0,1
206,3433,4,0,2,-1,0,0,0,1,1,1,0,0
207,1645,2,1,0,0,0,0,1,1,0,1,1,1
208,3982,1,0,-1,-1,1,1,1,0,1,1,0,0
209,946,1,2,-1,1,1,1,1,0,0,0,1,1
210,5496,4,2,2,1,0,0,0,0,1,1,1,1
211,4845,4,2,2,1,0,0,0,0,1,0,0,1
212,2558,1,1,-1,0,1,1,1,0,0,0,1,1
213,4686,2,2,0,1,0,0,1,1,0,0,1,1
214,1109,4,2,2,1,0,0,0,1,1,0,0,1
215,1554,4,0,2,-1,0,0,0,0,1,1,0,0
216,3301,2,1,0,0,0,0,1,1,0,1,1,1
217,1335,2,0,0,-1,0,0,1,1,0,1,0,0
218,335,3,1,1,0,0,0,0,1,0,1,1,1
219,2367,4,0,2,-1,0,0,0,0,1,1,0,0
220,362,2,0,0,-1,0,0,1,1,0,1,0,0
221,2372,3,2,1,1,0,0,0,1,1,0,0,1
222,1776,1,0,-1,-1,1,1,1,0,1,1,0,0
223,3515,1,2,-1,1,1,1,1,0,0,0,1,1
224,4194,0,0,-2,-1,1,1,0,1,1,1,1,1
225,4737,3,0,1,-1,0,0,0,1,0,1,0,0
226,4248,2,2,0,1,1,1,1,1,0,1,1,1
227,4142,4,0,2,-1,0,0,0,0,1,1,1,0
228,2380,3,0,1,-1,0,0,0,1,0,1,0,0
229,387,4,2,2,1,0,0,0,1,1,1,1,1
230,707,4,1,2,0,1,0,0,0,1,1,1,1
231,234,0,0,-2,-1,1,1,0,1,1,1,1,0
232,3192,4,2,2,1,0,0,0,1,1,0,1,1
233,2193,1,0,-1,-1,1,1,1,1,1,1,0,0
234,5023,0,1,-2,0,1,0,0,0,0,0,1,1
235,2862,1,1,-1,0,1,1,0,0,0,1,1,1
236,4728,2,0,0,-1,0,0,1,1,0,1,0,0
237,2704,2,2,0,1,0,0,1,1,0,0,0,1
238,2357,2,0,0,-1,0,0,1,1,0,1,0,0
239,2238,4,2,2,1,0,0,0,0,1,1,1,1
240,1488,3,2,1,1,0,0,0,1,1,1,1,1
241,2888,4,2,2,1,0,0,0,1,1,0,0,1
242,1826,1,2,-1,1,1,1,0,0,0,0,1,1
243,3871,2,0,0,-1,0,0,1,1,0,1,0,0
244,2291,0,2,-2,1,1,0,0,0,0,0,1,1
245,1296,0,0,-2,-1,1,1,0,1,1,1,1,1
246,4243,3,2,1,1,0,0,1,1,0,0,1,1
247,3220,1,2,-1,1,1,1,0,0,0,0,1,1
248,2501,4,0,2,-1,0,0,0,0,1,1,0,0
249,3247,3,0,1,-1,0,0,0,1,0,1,0,0
250,2817,4,2,2,1,0,0,0,1,1,0,1,1
251,8,0,0,-2,-1,1,1,0,1,1,1,1,0
252,2036,4,1,2,0,1,0,0,0,1,1,1,1
253,5246,2,2,0,1,0,1,1,1,0,1,1,1
254,2439,2,2,0,1,0,0,1,1,0,1,1,1
255,2130,3,2,1,1,0,0,0,1,1,1,1,1
256,2841,1,1,-1,0,1,1,0,0,0,1,1,1
257,3542,1,1,-1,0,1,1,0,0,0,0,1,1
258,471,2,0,0,-1,0,0,1,1,0,1,0,0
259,3340,1,1,-1,0,1,1,0,0,0,0,1,1
260,2071,4,2,2,1,0,0,0,1,1,0,0,1
261,3659,0,2,-2,1,1,0,0,0,0,0,0,1
262,2121,2,2,0,1,0,0,1,1,0,1,1,1
263,2083,2,0,0,-1,0,0,1,1,0,1,0,0
264,4226,4,0,2,-1,0,0,0,1,1,1,0,0
265,2162,0,0,-2,-1,1,1,0,1,1,1,1,0
266,622,4,0,2,-1,0,0,0,0,1,1,0,0
267,427,2,1,0,0,0,0,1,1,0,1,1,1
268,2715,4,0,2,-1,0,0,0,1,1,1,0,0
269,4512,0,2,-2,1,1,1,0,0,0,0,0,1
270,1112,2,2,0,1,1,1,1,1,1,0,1,1
271,282,0,2,-2,1,1,0,0,0,0,0,1,1
272,911,3,1,1,0,0,0,0,1,0,1,1,1
273,4034,0,2,-2,1,1,0,0,0,0,0,0,1
274,3757,3,0,1,-1,0,0,0,1,0,1,0,0
275,851,1,0,-1,-1,0,1,1,0,1,1,0,0
276,1965,4,0,2,-1,0,0,0,1,1,1,0,0
277,4135,2,0,0,-1,0,0,1,1,0,1,0,0
278,4499,4,0,2,-1,0,0,0,0,1,1,0,0
279,2669,4,2,2,1,0,0,0,1,1,0,0,1
280,5136,2,0,0,-1,0,0,1,1,0,1,0,0
281,2771,2,0,0,-1,0,0,1,1,0,1,0,0
282,3427,0,0,-2,-1,1,1,0,1,1,1,1,0
283,5226,4,0,2,-1,0,0,0,1,1,1,1,0
284,1708,0,0,-2,-1,1,1,0,1,1,1,1,0
285,3259,2,0,0,-1,0,1,1,0,0,1,0,0
286,2565,3,2,1,1,0,0,0,1,1,0,0,1
287,4738,1,0,-1,-1,1,1,1,0,1,1,0,0
288,4594,3,0,1,-1,0,0,0,1,0,1,0,0
289,4751,1,2,-1,1,1,1,0,0,0,0,0,1
290,3653,4,2,2,1,0,0,0,0,1,0,0,1
291,5289,0,2,-2,1,1,0,0,0,0,0,0,1
292,1772,2,0,0,-1,0,0,1,1,0,1,0,0
293,4451,4,2,2,1,0,0,0,1,1,0,0,1
294,27,1,2,-1,1,1,1,0,0,0,0,1,1
295,1994,1,0,-1,-1,1,1,1,0,1,1,0,0
296,5309,4,2,2,1,0,0,0,1,1,1,1,1
297,2358,2,0,0,-1,0,1,1,1,0,1,0,0
298,3007,0,0,-2,-1,1,1,0,1,1,1,1,0
299,5187,2,0,0,-1,0,0,1,1,0,1,0,0
300,2658,4,0,2,-1,0,0,0,0,1,1,0,0
301,1624,2,2,0,1,1,1,1,1,1,0,1,1
302,3475,0,2,-2,1,1,0,0,0,0,0,1,1
303,964,2,0,0,-1,0,0,1,1,0,1,0,0
304,3527,1,0,-1,-1,1,1,1,0,1,1,0,0
305,4590,1,2,-1,1,1,1,1,0,0,0,0,1
306,583,2,2,0,1,1,1,1,1,1,0,1,1
307,5407,0,2,-2,1,1,0,0,0,0,0,1,1
308,2346,2,2,0,1,1,1,1,1,0,0,1,1
309,872,3,0,1,-1,0,0,0,1,0,1,0,0
310,460,4,2,2,1,0,0,0,1,1,0,1,1
311,4146,1,0,-1,-1,0,1,1,0,1,1,0,0
312,4842,1,0,-1,-1,1,1,1,0,1,1,0,0
313,4890,2,2,0,1,0,0,1,1,0,0,1,1
314,1552,2,0,0,-1,0,0,1,1,0,1,0,0
315,1255,4,2,2,1,0,0,0,0,1,0,0,1
316,2533,0,1,-2,0,1,0,0,0,0,0,1,1
317,3679,1,0,-1,-1,1,1,1,0,1,1,0,0
318,4446,2,1,0,0,0,0,1,1,0,1,1,0
319,3223,0,2,-2,1,1,1,0,0,0,0,0,1
320,4008,2,2,0,1,1,1,1,1,0,0,1,1
321,2748,2,2,0,1,0,0,1,1,0,1,1,1
322,2255,2,0,0,-1,0,1,1,1,0,1,0,0
323,3655,1,2,-1,1,1,1,1,0,0,0,1,1
324,3375,1,1,-1,0,1,1,0,0,0,0,1,1
325,1114,0,0,-2,-1,1,1,0,1,1,1,1,1
326,2024,0,2,-2,1,1,1,0,0,0,0,0,1
327,423,4,2,2,1,0,0,0,1,1,0,1,1
328,1586,2,2,0,1,0,1,1,1,0,0,1,1
329,4636,4,1,2,0,0,0,0,0,1,1,1,1
330,703,3,1,1,0,0,0,0,1,0,1,1,1
331,179,1,2,-1,1,1,1,1,0,0,0,1,1
332,3090,1,0,-1,-1,1,1,1,0,1,1,0,0
333,3535,3,2,1,1,0,0,0,1,1,0,1,1
334,2637,3,1,1,0,0,0,1,1,0,1,1,1
335,2740,1,0,-1,-1,1,1,1,1,1,1,0,0
336,2691,1,2,-1,1,1,1,1,0,0,0,1,1
337,2197,3,1,1,0,0,0,0,1,0,1,1,1
338,4176,1,2,-1,1,1,1,0,0,0,0,1,1
339,2601,3,0,1,-1,0,0,0,1,0,1,0,0
340,3382,1,0,-1,-1,1,1,1,0,1,1,0,0
341,2735,4,0,2,-1,0,0,0,0,1,1,0,0
342,4026,2,0,0,-1,0,1,1,1,0,1,0,0
343,726,1,1,-1,0,1,1,0,0,0,0,1,1
344,4964,2,2,0,1,0,1,1,1,0,0,1,1
345,1419,3,0,1,-1,0,0,0,1,0,1,0,0
346,1086,2,0,0,-1,0,0,1,1,0,1,0,0
347,3443,4,1,2,0,0,0,0,0,1,1,1,1
348,4368,0,0,-2,-1,1,1,0,1,1,1,1,0
349,3717,2,2,0,1,1,1,1,0,0,0,1,1
350,3607,0,0,-2,-1,1,1,0,1,1,1,1,0
351,1922,4,2,2,1,0,0,0,0,1,0,0,1
352,4269,2,0,0,-1,0,0,1,1,0,1,0,0
353,2792,1,1,-1,0,1,1,1,0,0,0,1,1
354,58,1,1,-1,0,1,1,0,0,0,1,1,1
355,3049,4,0,2,-1,0,0,0,1,1,1,0,0
356,713,4,2,2,1,0,0,0,0,1,0,0,1
357,4707,4,0,2,-1,0,0,0,1,1,1,0,0
358,1801,1,1,-1,0,1,1,1,0,0,1,1,1
359,2243,0,0,-2,-1,1,1,0,1,1,1,1,0
360,1524,2,0,0,-1,0,0,1,1,0,1,0,0
361,1104,0,2,-2,1,1,1,0,0,0,0,0,1
362,2287,4,2,2,1,0,0,0,1,1,1,1,1
363,2351,0,1,-2,0,1,0,0,0,0,0,1,1
364,3054,3,0,1,-1,0,0,0,1,0,1,0,0
365,2278,4,1,2,0,1,0,0,0,1,1,1,1
366,3324,1,1,-1,0,1,1,1,0,0,1,1,1
367,2780,3,2,1,1,0,0,0,1,0,1,1,1
368,4166,4,0,2,-1,0,0,0,0,1,1,1,0
369,4639,0,0,-2,-1,1,1,0,1,1,1,1,0
370,2401,2,2,0,1,0,1,1,1,0,1,1,1
371,602,0,1,-2,0,1,0,0,0,0,0,1,1
372,3413,1,2,-1,1,1,1,0,0,0,0,1,1
373,3365,3,1,1,0,0,0,0,1,0,1,1,1
374,507,4,1,2,0,1,0,0,1,1,1,1,1
375,5459,4,2,2,1,0,0,0,0,1,0,0,1
376,403,4,1,2,0,0,0,0,0,1,1,1,1
377,4369,4,2,2,1,0,0,0,1,1,0,0,1
378,2183,1,1,-1,0,1,1,0,0,0,1,1,0
379,4312,1,0,-1,-1,1,1,1,1,1,1,0,0
380,3763,4,0,2,-1,0,0,0,1,1,1,1,0
381,4339,0,1,-2,0,1,1,0,0,0,1,1,0
382,1073,0,0,-2,-1,1,1,0,1,1,1,1,0
383,2671,3,2,1,1,0,0,0,1,0,0,1,1
384,2470,0,2,-2,1,1,0,0,0,0,0,0,1
385,5151,4,2,2,1,0,0,0,0,1,0,0,1
386,1760,2,2,0,1,0,0,1,1,0,1,1,1
387,5464,1,0,-1,-1,1,1,1,0,1,1,0,0
388,3684,4,0,2,-1,0,0,0,0,1,1,0,0
389,4385,4,0,2,-1,0,0,0,1,1,1,0,0
390,3844,4,0,2,-1,0,0,0,0,1,1,0,0
391,3479,2,1,0,0,0,0,1,1,0,0,1,1
392,4867,4,2,2,1,0,0,0,1,1,0,1,1
393,5229,1,2,-1,1,1,1,1,0,0,0,1,1
394,4648,4,2,2,1,0,0,0,1,1,0,0,1
395,3152,0,2,-2,1,1,0,0,0,0,0,0,1
396,1133,4,2,2,1,0,0,0,0,1,0,0,1
397,1532,3,1,1,0,0,0,0,1,0,1,1,1
398,5251,4,2,2,1,0,0,0,1,1,0,1,1
399,890,4,2,2,1,0,0,0,0,1,0,1,1
400,2319,4,2,2,1,0,0,0,1,1,0,0,1
401,4156,3,2,1,1,0,0,1,1,0,0,0,1
402,3193,0,1,-2,0,1,1,0,0,0,0,1,1
403,2822,3,0,1,-1,0,0,0,1,0,1,0,0
404,3469,1,0,-1,-1,1,1,1,1,1,1,1,0
405,4351,0,2,-2,1,1,1,0,0,0,0,0,1
406,1675,0,2,-2,1,1,0,0,0,0,0,1,1
407,4239,2,2,0,1,0,0,1,1,0,1,1,1
408,2846,0,0,-2,-1,1,1,0,1,1,1,1,0
409,1640,4,0,2,-1,0,0,0,0,1,1,0,0
410,1582,3,2,1,1,0,0,0,1,0,1,1,1
411,3199,1,0,-1,-1,0,1,1,0,1,1,0,0
412,2844,3,2,1,1,0,0,0,1,0,1,1,1
413,2087,2,0,0,-1,0,0,1,1,0,1,0,0
414,2801,0,0,-2,-1,1,1,0,1,1,1,1,0
415,3084,0,2,-2,1,1,0,0,0,0,0,1,1
416,899,0,0,-2,-1,1,1,0,1,1,1,1,0
417,538,0,0,-2,-1,1,1,0,1,1,1,1,0
418,1445,0,0,-2,-1,1,1,0,1,1,1,1,0
419,732,0,0,-2,-1,1,1,0,1,1,1,1,0
420,1356,3,2,1,1,0,0,1,1,1,0,1,1
421,417,0,0,-2,-1,1,1,0,1,1,1,1,0
422,5135,3,2,1,1,0,0,0,1,1,0,0,1
423,3962,3,2,1,1,0,0,0,1,0,1,1,1
424,1322,4,1,2,0,1,0,0,0,1,1,1,1
425,4776,2,0,0,-1,0,1,1,0,0,1,0,0
426,4214,3,0,1,-1,0,0,0,1,0,1,0,0
427,229,0,2,-2,1,1,0,0,0,0,0,1,1
428,4945,1,0,-1,-1,1,1,1,0,1,1,0,0
429,4099,0,0,-2,-1,1,1,0,1,1,1,1,0
430,954,0,1,-2,0,1,1,0,0,0,0,1,1
431,3180,2,1,0,0,0,0,1,1,0,1,1,1
432,4296,2,0,0,-1,0,0,1,1,0,1,0,0
433,5175,4,1,2,0,1,0,0,1,1,1,1,1
434,1405,3,0,1,-1,0,0,0,1,0,1,0,0
435,5000,4,2,2,1,0,0,0,1,1,0,0,1
436,2702,3,1,1,0,0,0,0,1,0,1,1,1
437,1998,4,2,2,1,0,0,0,1,1,1,1,1
438,2122,1,2,-1,1,1,1,1,0,0,1,1,1
439,21,1,0,-1,-1,0,1,1,0,1,1,0,0
440,4833,1,0,-1,-1,1,1,1,0,1,1,0,0
441,4541,2,0,0,-1,0,1,1,0,0,1,0,0
442,3754,0,1,-2,0,1,0,0,0,0,0,1,1
443,42,0,1,-2,0,1,1,0,1,0,1,1,0
444,3593,2,2,0,1,0,0,1,1,0,1,1,1
445,347,1,2,-1,1,1,1,1,0,0,0,0,1
446,1919,4,2,2,1,0,0,0,0,1,0,1,1
447,2887,1,0,-1,-1,1,1,1,0,1,1,1,0
448,5122,0,0,-2,-1,1,1,0,1,1,1,1,0
449,4674,4,2,2,1,0,0,0,1,1,0,0,1
450,1867,4,2,2,1,0,0,0,0,1,0,1,1
451,4627,2,1,0,0,0,1,1,0,0,1,1,1
452,3656,4,0,2,-1,0,0,0,1,1,1,0,0
453,287,3,2,1,1,0,0,0,1,1,0,0,1
454,1707,3,0,1,-1,0,0,0,1,0,1,1,0
455,2266,4,1,2,0,0,0,0,1,0,1,1,1
456,2967,1,0,-1,-1,1,1,1,0,1,1,0,0
457,3831,3,2,1,1,0,0,0,1,0,1,1,1
458,5255,4,0,2,-1,0,0,0,1,1,1,0,0
459,2341,1,2,-1,1,1,1,0,0,0,0,1,1
460,5365,4,0,2,-1,0,0,0,0,1,1,0,0
461,1124,3,0,1,-1,0,0,0,1,0,1,0,0
462,3218,3,2,1,1,0,0,1,1,0,1,1,1
463,3956,4,0,2,-1,0,0,0,1,1,1,1,0
464,4714,0,0,-2,-1,1,1,0,1,1,1,1,0
465,4889,0,2,-2,1,1,1,0,0,0,0,0,1
466,1036,1,0,-1,-1,1,1,1,0,1,1,0,0
