sample_id,raw_index,true_cte_idx,true_cte,pred_cte_idx,pred_cte,cte0,cte1,cte2,cte3,cte4
54,2170,0,-2,0,-2,1,0,0,0,0
55,1451,2,0,2,0,0,1,1,1,0
56,1449,0,-2,0,-2,1,0,0,0,0
57,11,4,2,4,2,0,0,0,1,1
58,2182,2,0,2,0,0,0,1,1,0
59,5281,3,1,3,1,0,0,0,1,0
60,3743,4,2,4,2,0,0,0,0,1
61,5305,1,-1,1,-1,1,1,1,0,0
62,2320,0,-2,0,-2,1,0,0,0,0
63,4754,0,-2,0,-2,1,1,0,1,0
64,2594,0,-2,0,-2,1,1,0,0,0
65,1534,4,2,4,2,0,0,0,0,1
66,3399,4,2,4,2,0,0,0,0,1
67,5155,1,-1,1,-1,1,1,0,0,0
68,2744,2,0,2,0,0,0,1,1,0
69,534,0,-2,0,-2,1,0,0,0,0
70,3955,2,0,1,-1,1,1,1,1,0
71,1949,2,0,2,0,0,1,1,0,0
72,4056,2,0,2,0,1,1,1,1,0
73,2779,3,1,3,1,0,0,0,1,0
74,4473,4,2,4,2,0,0,0,1,1
75,2495,4,2,4,2,0,0,0,0,1
76,5472,2,0,2,0,0,0,1,1,0
77,1882,0,-2,0,-2,1,1,0,0,0
78,4975,0,-2,0,-2,1,1,0,0,0
79,4389,3,1,3,1,0,0,0,1,0
80,4319,2,0,2,0,0,0,1,1,0
81,4684,4,2,3,1,0,0,0,1,1
82,1973,2,0,2,0,0,1,1,0,0
83,14,0,-2,0,-2,1,0,0,0,0
84,3194,1,-1,1,-1,1,1,0,0,0
85,3119,2,0,2,0,0,0,1,1,0
86,3965,3,1,3,1,0,0,0,1,0
87,4067,4,2,4,2,0,0,0,0,1
88,2151,2,0,2,0,0,1,1,1,0
89,585,4,2,4,2,0,0,0,0,1
90,807,0,-2,0,-2,1,0,0,0,0
91,1834,4,2,3,1,0,0,0,1,1
92,894,1,-1,1,-1,1,1,0,0,0
93,5322,2,0,3,1,0,0,1,1,0
94,1891,3,1,3,1,0,0,1,1,0
95,4595,2,0,2,0,0,0,1,1,0
96,5486,1,-1,1,-1,1,1,1,0,1
97,5053,1,-1,0,-2,1,1,0,0,0
98,579,1,-1,2,0,0,1,1,0,0
99,3642,3,1,3,1,0,0,0,1,0
100,759,0,-2,0,-2,1,1,0,1,1
101,368,3,1,3,1,0,0,0,1,0
102,1658,4,2,4,2,0,0,0,1,1
103,1888,0,-2,0,-2,1,1,0,1,0
104,1197,2,0,3,1,0,0,1,1,0
105,1958,3,1,3,1,0,0,1,1,0
106,2871,4,2,4,2,0,0,0,0,1
107,5235,2,0,2,0,0,0,1,0,0
108,4117,0,-2,0,-2,1,1,0,1,0
109,4837,3,1,3,1,0,0,1,1,0
110,2181,1,-1,0,-2,1,1,0,0,0
111,4191,0,-2,0,-2,1,0,0,0,0
112,3039,4,2,4,2,0,0,0,0,1
113,3491,4,2,4,2,0,0,0,0,1
114,345,2,0,3,1,0,0,1,1,0
115,1984,3,1,3,1,0,0,1,1,0
116,4408,1,-1,1,-1,0,1,1,0,0
117,3753,3,1,3,1,0,0,0,1,1
118,3454,0,-2,0,-2,1,0,0,0,0
119,2454,3,1,3,1,0,0,0,1,0
120,1229,2,0,3,1,0,0,1,1,0
121,4287,2,0,2,0,0,0,1,0,0
122,1913,0,-2,0,-2,1,1,0,0,0
123,342,4,2,3,1,0,0,0,1,1
124,977,0,-2,0,-2,1,0,0,0,0
125,1238,0,-2,0,-2,1,0,0,0,0
126,3740,4,2,4,2,0,0,0,0,1
127,1248,2,0,2,0,0,0,1,1,0
128,475,2,0,1,-1,1,1,1,0,0
129,1520,4,2,4,2,0,0,0,0,1
130,1434,1,-1,1,-1,1,1,1,0,1
131,333,4,2,4,2,0,0,0,0,1
132,5277,0,-2,0,-2,1,0,0,1,0
133,5499,3,1,3,1,0,0,0,1,0
134,4870,1,-1,2,0,0,1,1,0,0
135,4035,1,-1,0,-2,1,1,0,0,0
136,2103,4,2,3,1,0,0,0,1,1
137,272,2,0,1,-1,1,1,1,0,0
138,4189,4,2,4,2,0,0,0,0,1
139,5331,4,2,4,2,0,0,0,1,1
140,3388,0,-2,0,-2,1,1,0,0,0
141,4374,3,1,3,1,0,0,0,1,0
142,1768,2,0,2,0,0,0,1,1,0
143,2403,2,0,2,0,0,0,1,1,0
144,3462,3,1,3,1,0,0,0,1,1
145,4732,0,-2,0,-2,1,0,0,0,0
146,4788,4,2,4,2,0,0,0,0,1
147,4448,3,1,3,1,0,0,0,1,0
148,3915,1,-1,0,-2,1,1,0,0,1
149,4260,2,0,2,0,1,1,1,0,0
150,190,4,2,4,2,0,0,0,0,1
151,544,1,-1,1,-1,1,1,0,0,0
152,4303,0,-2,0,-2,1,0,0,0,0
153,1440,4,2,3,1,0,0,0,1,1
154,3736,0,-2,0,-2,1,0,0,0,0
155,4895,4,2,4,2,0,0,0,1,1
156,4941,3,1,3,1,0,0,0,1,1
157,500,0,-2,0,-2,1,0,0,0,0
158,1069,4,2,4,2,0,0,0,0,1
159,5088,4,2,4,2,0,0,0,0,1
160,1484,3,1,3,1,0,0,0,1,0
161,40,4,2,4,2,0,0,0,1,1
162,3290,4,2,4,2,0,0,0,1,1
163,5058,1,-1,1,-1,1,1,0,0,0
164,3206,1,-1,1,-1,0,1,1,0,0
165,43,4,2,4,2,0,0,0,0,1
166,995,2,0,2,0,0,1,1,1,0
167,4532,1,-1,1,-1,0,1,0,0,0
168,4140,0,-2,0,-2,1,1,0,0,0
169,1556,4,2,3,1,0,0,0,1,1
170,5121,3,1,3,1,0,0,0,1,0
171,4273,0,-2,0,-2,1,0,0,0,0
172,2799,1,-1,1,-1,1,1,0,0,0
173,2951,1,-1,1,-1,1,1,1,0,1
174,737,0,-2,0,-2,1,0,0,0,0
175,1499,0,-2,0,-2,1,0,0,0,0
176,4720,4,2,4,2,0,0,0,1,1
177,4337,1,-1,1,-1,1,1,0,0,0
178,3050,1,-1,1,-1,1,1,0,0,0
179,313,2,0,2,0,0,0,1,1,0
180,4631,1,-1,1,-1,0,1,1,0,0
181,1282,0,-2,0,-2,1,0,0,0,0
182,514,1,-1,1,-1,0,1,1,0,0
183,137,1,-1,1,-1,0,1,1,0,1
184,3391,0,-2,0,-2,1,0,0,0,0
185,2433,1,-1,1,-1,1,1,0,0,0
186,4778,0,-2,0,-2,1,0,0,0,0
187,948,4,2,4,2,0,0,0,0,1
188,3834,0,-2,0,-2,1,1,0,0,0
189,3215,4,2,4,2,0,0,0,0,1
190,1283,4,2,4,2,0,0,0,0,1
191,4282,3,1,3,1,0,0,0,1,0
192,223,0,-2,0,-2,1,0,0,0,0
193,1291,3,1,3,1,0,0,0,1,0
194,4762,4,2,4,2,0,0,0,0,1
195,2008,1,-1,1,-1,1,1,0,0,0
196,1186,4,2,4,2,0,0,0,1,1
197,3380,2,0,1,-1,1,1,1,0,0
198,3504,0,-2,0,-2,1,0,0,0,0
199,2775,2,0,3,1,0,0,1,1,0
200,3124,1,-1,0,-2,1,1,0,0,0
201,2321,4,2,4,2,0,0,0,0,1
202,483,0,-2,0,-2,1,0,0,0,0
203,292,0,-2,0,-2,1,0,0,0,0
204,3209,3,1,3,1,0,0,0,1,0
205,4561,3,1,3,1,0,0,1,1,0
206,3433,4,2,4,2,0,0,0,1,1
207,1645,2,0,2,0,0,0,1,0,0
208,3982,1,-1,1,-1,0,1,1,0,1
209,946,1,-1,1,-1,0,1,1,0,0
210,5496,4,2,4,2,0,0,0,0,1
211,4845,4,2,4,2,0,0,0,0,1
212,2558,1,-1,1,-1,1,1,0,0,0
213,4686,2,0,3,1,0,0,1,1,0
214,1109,4,2,4,2,0,0,0,0,1
215,1554,4,2,4,2,0,0,0,0,1
216,3301,2,0,2,0,0,0,1,1,0
217,1335,2,0,3,1,0,0,1,1,0
218,335,3,1,3,1,0,0,0,1,0
219,2367,4,2,4,2,0,0,0,0,1
220,362,2,0,2,0,0,0,1,1,0
221,2372,3,1,3,1,0,0,0,1,1
222,1776,1,-1,1,-1,0,1,1,0,0
223,3515,1,-1,1,-1,1,1,0,0,0
224,4194,0,-2,0,-2,1,1,0,1,1
225,4737,3,1,3,1,0,0,0,1,0
226,4248,2,0,2,0,0,1,1,1,0
227,4142,4,2,4,2,0,0,0,0,1
228,2380,3,1,3,1,0,0,0,1,0
229,387,4,2,3,1,0,0,0,1,1
230,707,4,2,4,2,0,0,0,0,1
231,234,0,-2,0,-2,1,1,0,1,1
232,3192,4,2,4,2,0,0,0,1,1
233,2193,1,-1,0,-2,1,1,0,0,1
234,5023,0,-2,0,-2,1,0,0,0,0
235,2862,1,-1,1,-1,1,1,0,0,0
236,4728,2,0,3,1,0,0,1,1,0
237,2704,2,0,3,1,0,0,1,1,0
238,2357,2,0,2,0,0,0,1,1,0
239,2238,4,2,4,2,0,0,0,0,1
240,1488,3,1,3,1,0,0,0,1,1
241,2888,4,2,4,2,0,0,0,1,1
242,1826,1,-1,1,-1,1,1,0,0,0
243,3871,2,0,2,0,0,0,1,1,0
244,2291,0,-2,0,-2,1,0,0,0,0
245,1296,0,-2,0,-2,1,1,0,0,1
246,4243,3,1,3,1,0,0,0,1,0
247,3220,1,-1,1,-1,1,1,0,0,0
248,2501,4,2,4,2,0,0,0,0,1
249,3247,3,1,3,1,0,0,0,1,0
250,2817,4,2,4,2,0,0,0,0,1
251,8,0,-2,0,-2,1,1,0,0,1
252,2036,4,2,4,2,0,0,0,0,1
253,5246,2,0,2,0,0,0,1,1,0
254,2439,2,0,3,1,0,0,1,1,0
255,2130,3,1,3,1,0,0,0,1,1
256,2841,1,-1,1,-1,1,1,0,0,0
257,3542,1,-1,0,-2,1,1,0,0,0
258,471,2,0,3,1,0,0,1,1,0
259,3340,1,-1,0,-2,1,1,0,0,0
260,2071,4,2,4,2,0,0,0,1,1
261,3659,0,-2,0,-2,1,0,0,0,0
262,2121,2,0,3,1,0,0,1,1,0
263,2083,2,0,3,1,0,0,1,1,0
264,4226,4,2,3,1,0,0,0,1,1
265,2162,0,-2,0,-2,1,1,0,0,1
266,622,4,2,4,2,0,0,0,0,1
267,427,2,0,2,0,0,0,1,1,0
268,2715,4,2,4,2,0,0,0,1,1
269,4512,0,-2,0,-2,1,0,0,0,0
270,1112,2,0,2,0,1,1,1,1,0
271,282,0,-2,0,-2,1,0,0,0,0
272,911,3,1,3,1,0,0,0,1,0
273,4034,0,-2,0,-2,1,0,0,0,0
274,3757,3,1,3,1,0,0,0,1,0
275,851,1,-1,1,-1,0,1,1,0,0
276,1965,4,2,4,2,0,0,0,1,1
277,4135,2,0,2,0,0,0,1,1,0
278,4499,4,2,4,2,0,0,0,0,1
279,2669,4,2,4,2,0,0,0,1,1
280,5136,2,0,2,0,0,0,1,0,0
281,2771,2,0,2,0,0,0,1,1,0
282,3427,0,-2,0,-2,1,1,0,0,1
283,5226,4,2,3,1,0,0,0,1,1
284,1708,0,-2,0,-2,1,0,0,0,0
285,3259,2,0,2,0,0,1,1,0,0
286,2565,3,1,3,1,0,0,0,1,1
287,4738,1,-1,1,-1,1,1,1,0,1
288,4594,3,1,3,1,0,0,0,1,0
289,4751,1,-1,1,-1,1,1,0,0,0
290,3653,4,2,4,2,0,0,0,0,1
291,5289,0,-2,0,-2,1,0,0,0,0
292,1772,2,0,2,0,0,0,1,1,0
293,4451,4,2,4,2,0,0,0,1,1
294,27,1,-1,1,-1,1,1,0,0,0
295,1994,1,-1,1,-1,0,1,1,0,1
296,5309,4,2,3,1,0,0,0,1,1
297,2358,2,0,2,0,0,0,1,0,0
298,3007,0,-2,0,-2,1,0,0,0,0
299,5187,2,0,2,0,0,0,1,1,0
300,2658,4,2,4,2,0,0,0,0,1
301,1624,2,0,2,0,1,1,1,1,0
302,3475,0,-2,0,-2,1,0,0,0,0
303,964,2,0,2,0,0,0,1,1,0
304,3527,1,-1,1,-1,1,1,1,0,1
305,4590,1,-1,1,-1,1,1,0,0,0
306,583,2,0,2,0,0,1,1,1,0
307,5407,0,-2,0,-2,1,0,0,0,0
308,2346,2,0,2,0,1,1,1,1,0
309,872,3,1,3,1,0,0,0,1,0
310,460,4,2,4,2,0,0,0,1,1
311,4146,1,-1,1,-1,0,1,1,0,0
312,4842,1,-1,1,-1,1,1,1,0,1
313,4890,2,0,3,1,0,0,1,1,0
314,1552,2,0,2,0,0,0,1,1,0
315,1255,4,2,4,2,0,0,0,0,1
316,2533,0,-2,0,-2,1,0,0,0,0
317,3679,1,-1,1,-1,1,1,1,0,1
318,4446,2,0,3,1,0,0,1,1,0
319,3223,0,-2,0,-2,1,1,0,0,0
320,4008,2,0,2,0,0,1,1,1,0
321,2748,2,0,3,1,0,0,1,1,0
322,2255,2,0,2,0,0,1,1,0,0
323,3655,1,-1,1,-1,1,1,0,0,0
324,3375,1,-1,0,-2,1,1,0,0,0
325,1114,0,-2,0,-2,1,1,0,1,1
326,2024,0,-2,0,-2,1,1,0,0,0
327,423,4,2,4,2,0,0,0,1,1
328,1586,2,0,2,0,0,0,1,1,0
329,4636,4,2,4,2,0,0,0,0,1
330,703,3,1,3,1,0,0,0,1,0
331,179,1,-1,1,-1,0,1,1,0,0
332,3090,1,-1,1,-1,1,1,1,0,1
333,3535,3,1,3,1,0,0,0,1,1
334,2637,3,1,3,1,0,0,0,1,0
335,2740,1,-1,1,-1,1,1,1,0,1
336,2691,1,-1,1,-1,1,1,1,0,0
337,2197,3,1,3,1,0,0,0,1,0
338,4176,1,-1,0,-2,1,1,0,0,0
339,2601,3,1,3,1,0,0,0,1,0
340,3382,1,-1,1,-1,1,1,1,0,1
341,2735,4,2,4,2,0,0,0,0,1
342,4026,2,0,2,0,0,1,1,0,0
343,726,1,-1,0,-2,1,1,0,0,0
344,4964,2,0,2,0,0,0,1,1,0
345,1419,3,1,3,1,0,0,0,1,0
346,1086,2,0,2,0,0,0,1,1,0
347,3443,4,2,4,2,0,0,0,0,1
348,4368,0,-2,0,-2,1,1,0,1,0
349,3717,2,0,1,-1,1,1,1,0,0
350,3607,0,-2,0,-2,1,1,0,1,1
351,1922,4,2,4,2,0,0,0,0,1
352,4269,2,0,3,1,0,0,1,1,0
353,2792,1,-1,1,-1,1,1,0,0,0
354,58,1,-1,1,-1,1,1,0,0,0
355,3049,4,2,4,2,0,0,0,1,1
356,713,4,2,4,2,0,0,0,0,1
357,4707,4,2,3,1,0,0,0,1,1
358,1801,1,-1,1,-1,0,1,1,0,0
359,2243,0,-2,0,-2,1,1,0,0,0
360,1524,2,0,2,0,0,0,1,1,0
361,1104,0,-2,0,-2,1,1,0,0,0
362,2287,4,2,4,2,0,0,0,1,1
363,2351,0,-2,0,-2,1,0,0,0,0
364,3054,3,1,3,1,0,0,0,1,0
365,2278,4,2,4,2,0,0,0,0,1
366,3324,1,-1,1,-1,1,1,0,0,0
367,2780,3,1,3,1,0,0,0,1,0
368,4166,4,2,4,2,0,0,0,0,1
369,4639,0,-2,0,-2,1,1,0,1,0
370,2401,2,0,2,0,0,0,1,1,0
371,602,0,-2,0,-2,1,0,0,0,0
372,3413,1,-1,1,-1,1,1,0,0,0
373,3365,3,1,3,1,0,0,0,1,0
374,507,4,2,4,2,0,0,0,1,1
375,5459,4,2,4,2,0,0,0,0,1
376,403,4,2,4,2,0,0,0,0,1
377,4369,4,2,4,2,0,0,0,1,1
378,2183,1,-1,0,-2,1,1,0,0,0
379,4312,1,-1,0,-2,1,1,0,0,1
380,3763,4,2,4,2,0,0,0,1,1
381,4339,0,-2,0,-2,1,1,0,0,0
382,1073,0,-2,0,-2,1,1,0,0,0
383,2671,3,1,3,1,0,0,0,1,0
384,2470,0,-2,0,-2,1,0,0,0,0
385,5151,4,2,4,2,0,0,0,0,1
386,1760,2,0,3,1,0,0,1,1,0
387,5464,1,-1,1,-1,1,1,1,0,0
388,3684,4,2,4,2,0,0,0,0,1
389,4385,4,2,4,2,0,0,0,1,1
390,3844,4,2,4,2,0,0,0,0,1
391,3479,2,0,2,0,0,0,1,0,0
392,4867,4,2,4,2,0,0,0,1,1
393,5229,1,-1,1,-1,0,1,0,0,0
394,4648,4,2,4,2,0,0,0,1,1
395,3152,0,-2,0,-2,1,0,0,0,0
396,1133,4,2,4,2,0,0,0,0,1
397,1532,3,1,3,1,0,0,0,1,0
398,5251,4,2,4,2,0,0,0,1,1
399,890,4,2,4,2,0,0,0,0,1
400,2319,4,2,4,2,0,0,0,1,1
401,4156,3,1,3,1,0,0,1,1,0
402,3193,0,-2,0,-2,1,0,0,0,0
403,2822,3,1,3,1,0,0,0,1,0
404,3469,1,-1,0,-2,1,1,0,0,1
405,4351,0,-2,0,-2,1,0,0,0,0
406,1675,0,-2,0,-2,1,0,0,0,0
407,4239,2,0,3,1,0,0,1,1,0
408,2846,0,-2,0,-2,1,0,0,1,0
409,1640,4,2,4,2,0,0,0,0,1
410,1582,3,1,3,1,0,0,0,1,0
411,3199,1,-1,1,-1,0,1,1,0,1
412,2844,3,1,3,1,0,0,0,1,0
413,2087,2,0,2,0,0,0,1,0,0
414,2801,0,-2,0,-2,1,1,0,0,0
415,3084,0,-2,0,-2,1,0,0,0,0
416,899,0,-2,0,-2,1,1,0,1,0
417,538,0,-2,0,-2,1,1,0,1,0
418,1445,0,-2,0,-2,1,1,0,0,0
419,732,0,-2,0,-2,1,0,0,0,0
420,1356,3,1,3,1,0,0,0,1,0
421,417,0,-2,0,-2,1,1,0,1,1
422,5135,3,1,3,1,0,0,0,1,1
423,3962,3,1,3,1,0,0,0,1,0
424,1322,4,2,4,2,0,0,0,0,1
425,4776,2,0,2,0,0,0,1,0,0
426,4214,3,1,3,1,0,0,0,1,0
427,229,0,-2,0,-2,1,0,0,0,0
428,4945,1,-1,1,-1,1,1,1,0,1
429,4099,0,-2,0,-2,1,1,0,1,0
430,954,0,-2,0,-2,1,1,0,0,0
431,3180,2,0,2,0,0,0,1,1,0
432,4296,2,0,2,0,0,0,1,1,0
433,5175,4,2,4,2,0,0,0,1,1
434,1405,3,1,3,1,0,0,0,1,0
435,5000,4,2,4,2,0,0,0,1,1
436,2702,3,1,3,1,0,0,0,1,0
437,1998,4,2,4,2,0,0,0,0,1
438,2122,1,-1,1,-1,1,1,0,0,0
439,21,1,-1,2,0,0,1,1,0,0
440,4833,1,-1,1,-1,1,1,1,0,0
441,4541,2,0,2,0,0,1,1,0,0
442,3754,0,-2,0,-2,1,0,0,0,0
443,42,0,-2,0,-2,1,0,0,0,0
444,3593,2,0,3,1,0,0,0,1,0
445,347,1,-1,1,-1,1,1,0,0,0
446,1919,4,2,4,2,0,0,0,0,1
447,2887,1,-1,1,-1,1,1,1,0,1
448,5122,0,-2,0,-2,1,1,0,1,1
449,4674,4,2,4,2,0,0,0,0,1
450,1867,4,2,4,2,0,0,0,0,1
451,4627,2,0,2,0,0,0,1,0,0
452,3656,4,2,4,2,0,0,0,1,1
453,287,3,1,3,1,0,0,0,1,1
454,1707,3,1,3,1,0,0,0,1,0
455,2266,4,2,3,1,0,0,0,1,0
456,2967,1,-1,1,-1,1,1,1,0,1
457,3831,3,1,3,1,0,0,0,1,0
458,5255,4,2,3,1,0,0,0,1,1
459,2341,1,-1,1,-1,1,1,0,0,0
460,5365,4,2,4,2,0,0,0,0,1
461,1124,3,1,3,1,0,0,0,1,0
462,3218,3,1,3,1,0,0,1,1,0
463,3956,4,2,4,2,0,0,0,1,1
464,4714,0,-2,0,-2,1,1,0,0,0
465,4889,0,-2,0,-2,1,1,0,0,0
466,1036,1,-1,1,-1,1,1,1,0,1
467,2881,1,-1,1,-1,1,1,1,0,0
468,3585,2,0,2,0,0,1,1,1,0
469,3353,0,-2,0,-2,1,0,0,0,0
470,1134,3,1,3,1,0,0,0,1,0
471,5232,2,0,3,1,0,0,1,1,0
472,2815,0,-2,0,-2,1,1,0,1,0
473,5083,4,2,4,2,0,0,0,0,1
474,4054,3,1,3,1,0,0,0,1,0
475,3009,1,-1,1,-1,0,1,1,0,0
476,1823,0,-2,0,-2,1,0,0,0,0
477,2492,1,-1,1,-1,1,1,1,0,1
478,2176,0,-2,0,-2,1,1,0,0,0
479,2423,1,-1,1,-1,1,1,1,0,1
480,5369,3,1,3,1,0,0,1,1,0
481,4486,1,-1,1,-1,1,1,0,0,0
482,3641,0,-2,0,-2,1,0,0,0,0
483,1297,1,-1,1,-1,1,1,1,0,0
484,5408,1,-1,0,-2,1,1,0,1,1
485,3857,2,0,2,0,1,1,1,0,0
486,3665,2,0,2,0,0,0,1,1,0
487,1901,3,1,3,1,0,0,0,1,0
488,3315,1,-1,1,-1,1,1,1,0,0
489,1194,0,-2,0,-2,1,0,0,0,0
490,1004,0,-2,0,-2,1,1,0,0,0
491,4094,0,-2,0,-2,1,0,0,0,0
492,3052,0,-2,0,-2,1,0,0,0,0
493,778,2,0,2,0,0,0,1,0,0
494,5439,4,2,4,2,0,0,0,0,1
495,2026,3,1,3,1,0,0,1,1,0
496,3306,2,0,2,0,0,0,1,1,0
497,1129,3,1,3,1,0,0,1,1,0
498,2499,3,1,3,1,0,0,0,1,0
499,1452,1,-1,1,-1,1,1,0,0,0
500,996,3,1,3,1,0,0,0,1,1
501,1137,3,1,3,1,0,0,0,1,0
502,1697,1,-1,1,-1,0,1,1,0,0
503,1360,2,0,2,0,0,0,1,1,0
504,4760,3,1,3,1,0,0,0,1,0
505,1245,4,2,4,2,0,0,0,0,1
506,3712,3,1,3,1,0,0,0,1,1
507,5027,0,-2,0,-2,1,1,0,0,1
508,391,3,1,3,1,0,0,0,1,0
509,4454,2,0,2,0,0,0,1,1,0
510,2295,4,2,4,2,0,0,0,0,1
511,4033,1,-1,0,-2,1,1,0,0,0
512,3588,1,-1,1,-1,0,1,1,0,0
513,1824,1,-1,1,-1,1,1,0,0,0
514,3567,3,1,3,1,0,0,1,1,0
515,63,0,-2,0,-2,1,0,0,0,0
516,1121,1,-1,1,-1,1,1,1,0,0
517,831,3,1,3,1,0,0,0,1,1
518,218,4,2,4,2,0,0,0,0,1
519,5177,4,2,4,2,0,0,0,0,1
520,779,1,-1,0,-2,1,1,0,0,0
521,1799,4,2,4,2,0,0,0,0,1
522,4543,2,0,2,0,0,1,1,1,0
523,4022,3,1,3,1,0,0,0,1,1
524,3338,2,0,2,0,0,1,1,0,0
525,598,1,-1,1,-1,1,1,1,0,0
526,2845,4,2,4,2,0,0,0,0,1
527,2065,0,-2,0,-2,1,0,0,0,0
528,1777,2,0,3,1,0,0,1,1,0
529,4892,4,2,4,2,1,0,0,1,1
530,1762,4,2,4,2,0,0,0,0,1
531,2051,1,-1,1,-1,1,1,1,0,0
532,217,0,-2,0,-2,1,0,0,0,0
533,3948,4,2,4,2,0,0,0,0,1
534,371,4,2,4,2,0,0,0,0,1
535,4780,1,-1,1,-1,1,1,0,0,0
536,1700,2,0,2,0,0,0,1,0,0
537,4747,2,0,2,0,0,0,1,1,0
538,3675,0,-2,0,-2,1,1,0,0,1
539,1677,2,0,2,0,0,1,1,0,0
540,2572,2,0,2,0,0,0,1,1,0
541,2585,0,-2,0,-2,1,1,0,1,0
542,1382,4,2,4,2,0,0,0,0,1
543,2904,3,1,3,1,0,0,0,1,0
544,786,3,1,3,1,0,0,1,1,0
545,714,1,-1,1,-1,1,1,1,0,0
546,2079,3,1,3,1,0,0,0,1,1
547,3537,0,-2,0,-2,1,0,0,0,0
548,4037,4,2,4,2,0,0,0,0,1
549,4378,2,0,2,0,0,0,1,1,0
550,2465,3,1,3,1,0,0,0,1,0
551,30,2,0,2,0,0,0,1,1,0
552,2522,2,0,2,0,0,1,1,1,0
553,2555,2,0,2,0,0,1,1,0,0
554,3134,3,1,3,1,0,0,0,1,0
555,2032,0,-2,0,-2,1,1,0,0,1
556,2698,3,1,4,2,0,0,0,1,1
557,2548,1,-1,1,-1,0,1,1,0,0
558,4785,1,-1,0,-2,1,1,0,0,1
559,5488,4,2,3,1,0,0,0,1,1
560,4472,2,0,3,1,0,0,1,1,0
561,2580,3,1,3,1,0,0,0,1,0
562,2384,2,0,3,1,0,0,1,1,0
563,5222,0,-2,0,-2,1,0,0,0,0
564,1019,1,-1,0,-2,1,1,0,0,0
565,4800,4,2,4,2,0,0,0,0,1
566,4642,4,2,4,2,0,0,0,1,1
567,461,1,-1,0,-2,1,1,0,0,0
568,5035,2,0,2,0,0,0,1,1,0
569,1637,1,-1,0,-2,1,1,0,0,0
570,4635,4,2,4,2,0,0,0,1,1
571,1329,2,0,3,1,0,0,1,1,0
572,1536,1,-1,1,-1,1,1,0,0,0
573,3446,4,2,4,2,0,0,0,0,1
574,3384,0,-2,0,-2,1,1,0,1,0
575,2427,1,-1,1,-1,1,1,0,0,0
576,38,2,0,2,0,0,0,1,1,0
577,833,0,-2,0,-2,1,1,0,1,1
578,893,1,-1,1,-1,1,1,0,0,0
579,3029,1,-1,1,-1,0,1,1,0,0
580,2398,0,-2,0,-2,1,0,0,0,0
581,3229,3,1,4,2,0,0,0,1,1
582,4653,0,-2,0,-2,1,1,0,0,0
583,3583,0,-2,0,-2,1,0,0,0,0
584,4066,3,1,3,1,0,0,0,1,0
585,1215,0,-2,0,-2,1,0,0,0,0
